ID,Type,SKU,Name,Handle,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
1306,variation,7 to 8 years-two rabbits(257),two rabbits night suit for kids(257) - 7 to 8 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1303,,,,,,3,,kids sizes,7 to 8 years,,0,,,,,
1307,variation,9 to 10 years-two rabbits(257),two rabbits night suit for kids(257) - 9 to 10 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1303,,,,,,4,,kids sizes,9 to 10 years,,0,,,,,
1408,variable,,Gray penguin night suit for kids(260),,1,0,visible,,"<ul>
\n 	<li>Kids baby Girl/baby Boy night suit</li>
\n 	<li>Best for summers</li>
\n 	<li>Comfortable for all-day wear</li>
\n 	<li>(1 Pcs)Price:-650/-(200 delivery charges apply</li>
\n 	<li>Fabric (Soft Cotton Jersey)</li>
\n 	<li>Size: 1to 2 years, 3 to 4 years. 5 to 6 years, 7 to 8 years, 9 to 10 years</li>
\n</ul>
\n<img class=""alignnone size-medium wp-image-2810"" src=""https://essentialscart.pk/wp-content/uploads/2020/12/kids-updated-size-chart-300x300.jpg"" alt="""" width=""300"" height=""300"" />
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Kids,,,https://essentialscart.pk/wp-content/uploads/2020/09/260.jpg,,,,,,,,,88,,kids sizes,"3 to 4 years, 5 to 6 years, 7 to 8 years, 9 to 10 years",1,0,,,,,
1409,variation,3 to 4 years-Gray penguin(260),Gray penguin night suit for kids(260) - 3 to 4 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1408,,,,,,1,,kids sizes,3 to 4 years,,0,,,,,
1410,variation,5 to 6 years-Gray penguin(260),Gray penguin night suit for kids(260) - 5 to 6 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1408,,,,,,2,,kids sizes,5 to 6 years,,0,,,,,
1411,variation,7 to 8 years-Gray penguin(260),Gray penguin night suit for kids(260) - 7 to 8 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1408,,,,,,3,,kids sizes,7 to 8 years,,0,,,,,
1412,variation,9 to 10 years-Gray penguin(260),Gray penguin night suit for kids(260) - 9 to 10 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1408,,,,,,4,,kids sizes,9 to 10 years,,0,,,,,
1414,variable,,cheeky dinosaurs  night suit for kids(261),,1,0,visible,,"<ul>
\n 	<li>Kids baby Girl/baby Boy night suit</li>
\n 	<li>Best for summers</li>
\n 	<li>Comfortable for all-day wear</li>
\n 	<li>(1 Pcs)Price:-650/-(200 delivery charges apply</li>
\n 	<li>Fabric (Soft Cotton Jersey)</li>
\n 	<li>Size: 1to 2 years, 3 to 4 years. 5 to 6 years, 7 to 8 years, 9 to 10 years</li>
\n</ul>
\n<img class=""alignnone size-medium wp-image-2810"" src=""https://essentialscart.pk/wp-content/uploads/2020/12/kids-updated-size-chart-300x300.jpg"" alt="""" width=""300"" height=""300"" />
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Kids,,,https://essentialscart.pk/wp-content/uploads/2020/09/261-1.jpeg,,,,,,,,,84,,kids sizes,"3 to 4 years, 5 to 6 years, 7 to 8 years, 9 to 10 years",1,0,,,,,
1415,variation,3 to 4 years-cheeky dinosaurs(261),cheeky dinosaurs  night suit for kids(261) - 3 to 4 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1414,,,,,,1,,kids sizes,3 to 4 years,,0,,,,,
1416,variation,5 to 6 years-cheeky dinosaurs(261),cheeky dinosaurs  night suit for kids(261) - 5 to 6 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1414,,,,,,2,,kids sizes,5 to 6 years,,0,,,,,
1417,variation,7 to 8 years-cheeky dinosaurs(261),cheeky dinosaurs  night suit for kids(261) - 7 to 8 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1414,,,,,,3,,kids sizes,7 to 8 years,,0,,,,,
1418,variation,9 to 10 years-cheeky dinosaurs(261),cheeky dinosaurs  night suit for kids(261) - 9 to 10 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1414,,,,,,4,,kids sizes,9 to 10 years,,0,,,,,
1426,variable,,fashion half sleeves night suit for her(263),,1,0,visible,,"<img class=""alignnone wp-image-4795"" src=""https://essentialscart.pk/wp-content/uploads/2021/06/size-chart-rex-small-less-300x300.jpg"" alt="""" width=""376"" height=""376"" />
\n
\n&nbsp;
\n
\nDress for her
\nFabric: - Soft Cotton Jersey
\nSize: - Medium- Large- XL
\n
\nDelivery 3-5 days
\n
\n&nbsp;
\n
\nCheck out our satisfied customers' reviews
\n
\n&nbsp;
\n
\n1-Satisfied Customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTcwNzE1MzQwMTA3Mjg0?igshid=jshwjs05fpfw"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTcwNzE1MzQwMTA3Mjg0?igshid=jshwjs05fpfw</a>
\n
\n&nbsp;
\n
\n2-Satisfied Customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMzMzYzNzY3NTgzNTM2?story_media_id=2611283413150367937_31282880262&amp;utm_medium=copy_link"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMzMzYzNzY3NTgzNTM2?story_media_id=2611283413150367937_31282880262&amp;utm_medium=copy_link</a>
\n
\n&nbsp;
\n
\n3-satisfied customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMwODM5ODEzNzE2Nzk2?story_media_id=2650257576113287535_31282880262&amp;utm_medium=copy_link"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMwODM5ODEzNzE2Nzk2?story_media_id=2650257576113287535_31282880262&amp;utm_medium=copy_link</a>
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Clothing,,,"https://essentialscart.pk/wp-content/uploads/2020/09/263-2.jpg, https://essentialscart.pk/wp-content/uploads/2020/09/sun-fashion-5.jpg, https://essentialscart.pk/wp-content/uploads/2020/09/263-2.jpg",,,,,,,,,28,,sizes,"small, Medium, Large, Extra large",1,0,,,,,
1427,variation,extra large-fashion hs(263),fashion half sleeves night suit for her(263) - Extra large,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,999,2000,,,,,,,id:1426,,,,,,1,,sizes,Extra large,,0,,,,,
1428,variation,large-fashion hs(263),fashion half sleeves night suit for her(263) - Large,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,999,2000,,,,,,,id:1426,,,,,,2,,sizes,Large,,0,,,,,
1429,variation,medium-fashion hs(263),fashion half sleeves night suit for her(263) - Medium,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,999,2000,,,,,,,id:1426,,,,,,3,,sizes,Medium,,0,,,,,
1432,variable,,pink heart printed full sleeves night suit for her(264),,1,0,visible,,"<img class=""alignnone wp-image-4795"" src=""https://essentialscart.pk/wp-content/uploads/2021/06/size-chart-rex-small-less-300x300.jpg"" alt="""" width=""376"" height=""376"" />
\n
\n&nbsp;
\n
\nDress for her
\nFabric: - Soft Cotton Jersey
\nSize: - Medium- Large- XL
\n
\nDelivery 3-5 days
\n
\n&nbsp;
\n
\nCheck out our satisfied customers' reviews
\n
\n&nbsp;
\n
\n1-Satisfied Customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTcwNzE1MzQwMTA3Mjg0?igshid=jshwjs05fpfw"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTcwNzE1MzQwMTA3Mjg0?igshid=jshwjs05fpfw</a>
\n
\n&nbsp;
\n
\n2-Satisfied Customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMzMzYzNzY3NTgzNTM2?story_media_id=2611283413150367937_31282880262&amp;utm_medium=copy_link"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMzMzYzNzY3NTgzNTM2?story_media_id=2611283413150367937_31282880262&amp;utm_medium=copy_link</a>
\n
\n&nbsp;
\n
\n3-satisfied customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMwODM5ODEzNzE2Nzk2?story_media_id=2650257576113287535_31282880262&amp;utm_medium=copy_link"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMwODM5ODEzNzE2Nzk2?story_media_id=2650257576113287535_31282880262&amp;utm_medium=copy_link</a>
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Clothing,,,"https://essentialscart.pk/wp-content/uploads/2020/09/264-2-600x600-1.jpeg, https://essentialscart.pk/wp-content/uploads/2020/09/pink-heart-printed-1.jpg, https://essentialscart.pk/wp-content/uploads/2020/09/pink-heart-printed-2.jpg, https://essentialscart.pk/wp-content/uploads/2020/09/264-2-600x600-1.jpg",,,,,,,,,43,,sizes,"small, Medium, Large, Extra large",1,0,,,,,
1433,variation,extra large-pink heart printed(264),pink heart printed full sleeves night suit for her(264) - Extra large,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,1099,2000,,,,,,,id:1432,,,,,,1,,sizes,Extra large,,0,,,,,
1434,variation,large-pink heart printed(264),pink heart printed full sleeves night suit for her(264) - Large,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,1099,2000,,,,,,,id:1432,,,,,,2,,sizes,Large,,0,,,,,
1435,variation,medium-pink heart printed(264),pink heart printed full sleeves night suit for her(264) - Medium,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,1099,2000,,,,,,,id:1432,,,,,,3,,sizes,Medium,,0,,,,,
1457,variable,,more I grow Half sleeves night suit for her(266),,1,0,visible,,"<img class=""alignnone wp-image-4795"" src=""https://essentialscart.pk/wp-content/uploads/2021/06/size-chart-rex-small-less-300x300.jpg"" alt="""" width=""376"" height=""376"" />
\n
\n&nbsp;
\n
\nDress for her
\nFabric: - Soft Cotton Jersey
\nSize: - Medium- Large- XL
\n
\nDelivery 3-5 days
\n
\n&nbsp;
\n
\nCheck out our satisfied customers' reviews
\n
\n&nbsp;
\n
\n1-Satisfied Customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTcwNzE1MzQwMTA3Mjg0?igshid=jshwjs05fpfw"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MTcwNzE1MzQwMTA3Mjg0?igshid=jshwjs05fpfw</a>
\n
\n&nbsp;
\n
\n2-Satisfied Customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMzMzYzNzY3NTgzNTM2?story_media_id=2611283413150367937_31282880262&amp;utm_medium=copy_link"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMzMzYzNzY3NTgzNTM2?story_media_id=2611283413150367937_31282880262&amp;utm_medium=copy_link</a>
\n
\n&nbsp;
\n
\n3-satisfied customer reviews on Instagram
\n
\n<a href=""https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMwODM5ODEzNzE2Nzk2?story_media_id=2650257576113287535_31282880262&amp;utm_medium=copy_link"">https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTMwODM5ODEzNzE2Nzk2?story_media_id=2650257576113287535_31282880262&amp;utm_medium=copy_link</a>
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Clothing,,,"https://essentialscart.pk/wp-content/uploads/2020/09/WhatsApp-Image-2022-04-05-at-4.53.48-PM-2.jpeg, https://essentialscart.pk/wp-content/uploads/2020/09/WhatsApp-Image-2022-04-05-at-4.53.49-PM.jpeg, https://essentialscart.pk/wp-content/uploads/2020/09/WhatsApp-Image-2022-04-05-at-4.53.48-PM-2-1.jpeg, https://essentialscart.pk/wp-content/uploads/2020/09/WhatsApp-Image-2022-04-05-at-4.53.48-PM-1.jpeg",,,,,,,,,38,,sizes,"small, Medium, Large, Extra large",1,0,,,,,
1458,variation,extra large-more I grow Half sleeves night suit for her(266),more I grow Half sleeves night suit for her(266) - Extra large,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,999,2000,,,,,,,id:1457,,,,,,2,,sizes,Extra large,,0,,,,,
1459,variation,large-more I grow Half sleeves night suit for her(266),more I grow Half sleeves night suit for her(266) - Large,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,999,2000,,,,,,,id:1457,,,,,,3,,sizes,Large,,0,,,,,
1460,variation,medium-more I grow Half sleeves night suit for her(266),more I grow Half sleeves night suit for her(266) - Medium,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,999,2000,,,,,,,id:1457,,,,,,4,,sizes,Medium,,0,,,,,
1541,variable,,do you think night suit for kids(273),,1,0,visible,,"<ul>
\n 	<li>Kids baby Girl/baby Boy night suit</li>
\n 	<li>Best for summers</li>
\n 	<li>Comfortable for all-day wear</li>
\n 	<li>(1 Pcs)Price:-650/-(200 delivery charges apply</li>
\n 	<li>Fabric (Soft Cotton Jersey)</li>
\n 	<li>Size: 1to 2 years, 3 to 4 years. 5 to 6 years, 7 to 8 years, 9 to 10 years</li>
\n</ul>
\n<img class=""alignnone size-medium wp-image-2810"" src=""https://essentialscart.pk/wp-content/uploads/2020/12/kids-updated-size-chart-300x300.jpg"" alt="""" width=""300"" height=""300"" />
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Kids,,,https://essentialscart.pk/wp-content/uploads/2020/09/273.jpeg,,,,,,,,,85,,kids sizes,"3 to 4 years, 5 to 6 years, 7 to 8 years, 9 to 10 years",1,0,,,,,
1542,variation,3 to 4 years-do you think(273),do you think night suit for kids(273) - 3 to 4 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1541,,,,,,1,,kids sizes,3 to 4 years,,0,,,,,
1543,variation,5 to 6 years-do you think(273),do you think night suit for kids(273) - 5 to 6 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1541,,,,,,2,,kids sizes,5 to 6 years,,0,,,,,
1544,variation,7 to 8 years-do you think(273),do you think night suit for kids(273) - 7 to 8 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1541,,,,,,3,,kids sizes,7 to 8 years,,0,,,,,
1545,variation,9to10 years-do you think(273),do you think night suit for kids(273) - 9 to 10 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1541,,,,,,4,,kids sizes,9 to 10 years,,0,,,,,
1547,variable,,flying performance night suit for kids(274),,1,0,visible,,"<ul>
\n 	<li>Kids Baby Girl/baby Boy  suit</li>
\n 	<li>Best for summers</li>
\n 	<li>Comfortable for all-day wear</li>
\n 	<li>(1 Pcs)Price:-749/-(200 delivery charges apply</li>
\n 	<li>Fabric (Soft Cotton Jersey)</li>
\n 	<li>Size: 1to 2 years, 3 to 4 years. 5 to 6 years, 7 to 8 years, 9 to 10 years</li>
\n</ul>
\n&nbsp;
\n
\n<img class=""alignnone size-medium wp-image-2810"" src=""https://essentialscart.pk/wp-content/uploads/2020/12/kids-updated-size-chart-300x300.jpg"" alt="""" width=""300"" height=""300"" />
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Kids,,,https://essentialscart.pk/wp-content/uploads/2020/09/274.jpeg,,,,,,,,,87,,kids sizes,"3 to 4 years, 5 to 6 years, 7 to 8 years, 9 to 10 years",1,0,,,,,
1548,variation,3 to 4 years-flying performance(274),flying performance night suit for kids(274) - 3 to 4 years,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,749,1200,,,,,,,id:1547,,,,,,1,,kids sizes,3 to 4 years,,0,,,,,
1549,variation,5 to 6 years-flying performance(274),flying performance night suit for kids(274) - 5 to 6 years,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,749,1200,,,,,,,id:1547,,,,,,2,,kids sizes,5 to 6 years,,0,,,,,
1550,variation,7 to 8 years-flying performance(274),flying performance night suit for kids(274) - 7 to 8 years,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,749,1200,,,,,,,id:1547,,,,,,3,,kids sizes,7 to 8 years,,0,,,,,
1551,variation,9 to 10 years-flying performance(274),flying performance night suit for kids(274) - 9 to 10 years,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,749,1200,,,,,,,id:1547,,,,,,4,,kids sizes,9 to 10 years,,0,,,,,
1579,variable,,Green NO printed night suit for kids(298),,1,0,visible,,"<ul>
\n 	<li>Kids baby Girl/baby Boy night suit</li>
\n 	<li>Best for summers</li>
\n 	<li>Comfortable for all-day wear</li>
\n 	<li>(1 Pcs)Price:-650/-(200 delivery charges apply</li>
\n 	<li>Fabric (Soft Cotton Jersey)</li>
\n 	<li>Size: 1to 2 years, 3 to 4 years. 5 to 6 years, 7 to 8 years, 9 to 10 years</li>
\n</ul>
\n<img class=""alignnone size-medium wp-image-2810"" src=""https://essentialscart.pk/wp-content/uploads/2020/12/kids-updated-size-chart-300x300.jpg"" alt="""" width=""300"" height=""300"" />
\n
\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,Kids,,,https://essentialscart.pk/wp-content/uploads/2020/10/298.jpeg,,,,,,,,,89,,kids sizes,"3 to 4 years, 5 to 6 years, 7 to 8 years, 9 to 10 years",1,0,,,,,
1580,variation,3 to 4 years-Green NO printed(298),Green NO printed night suit for kids(298) - 3 to 4 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1579,,,,,,1,,kids sizes,3 to 4 years,,0,,,,,
1581,variation,5 to 6 years-Green NO printed(298),Green NO printed night suit for kids(298) - 5 to 6 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1579,,,,,,2,,kids sizes,5 to 6 years,,0,,,,,
1582,variation,7 to 8-Green NO printed(298),Green NO printed night suit for kids(298) - 7 to 8 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1579,,,,,,3,,kids sizes,7 to 8 years,,0,,,,,
1583,variation,9 to 10 years-Green NO printed(298),Green NO printed night suit for kids(298) - 9 to 10 years,,1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,,650,,,,,,,id:1579,,,,,,4,,kids sizes,9 to 10 years,,0,,,,,
